"idservicio","nombre","mercado","tipo","infraestructura","descripcion","resultados","fregistro","informante","entidad","autorizado"
"129","El laboratorio de seguridad industrial brinda los servicios relacionados la seguridad de los obreros en ellos podemos mencionar: Estudio de calor, Temperatura, Iluminación, Ruido, Estrés térmico,Estudio de acides (ph).","Generalmente los usuarios son los alumnos de las distintas facultades que están relacionada con el tema u otras Universidades que soliciten el servicio del laboratorio para sus estudiantes, a si como también empresas ya sea privadas o estatales","33","El laboratorio cuenta con los equipos y infraestructura suficientes para brindar 
los laboratorios de seguridad industrial a los alumnos de la UNI como de otros universidades, tales como: Luxómetros, Sonómetros, Minitermo-higrometros, Equipo para estrés térmico, PHimetro.","Servicio de laboratorio para los estudiantes de la UNI y otras universidades, a si como estudios a las distintas empresas en relación a la seguridad industrial, al mismo tiempo se brinda apoyo a los postgrado de la facultad en seguridad industrial","Los estudiantes tanto de pregrado como de postgrado salen utilizando los equipos de seguridad para posibles inserciones en la empresas o para ser utilizado en las empresas de donde provienen aquellos alumno de postgrado","2010-10-29","Daniel Cuadra Horney","FTI","Si"
"130","Análisis del Índice de  Riesgo País de Nicaragua","-Instituciones del Estado.
-Instituciones del sector privado.
-Profesionales independientes.
-Gobiernos municipales.
-Sociedad civil
-Organismos internacionales.
","10","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Paquete SPSS.
-Window 2007-2010.
-Laptpo y Data Show.","Dicho índice se ha determinado a partir del un análisis del riesgo político, económico y financiero,  de lo cual resulta el índice de riesgo &#8211; país de Nicaragua,  moviéndose en una escala del 0 al 100. Pretende facilitar criterios de la confianza que brinda el país para la inversión y la estabilidad del sistema político en Nicaragua.  ","-Establecido el índice de riesgo país como indicador.
-Facilitados los criterios que brinden confianza para la inversión y la estabilidad.  ","2010-10-29","Francisco Flores Morales","PPP","Si"
"133","Diplomado en Sistema de Gestión Ambiental / Sistema de Gestión de la Calidad","Empresas públicas y privadas","3","Aulas especializadas","Fortalecimiento de capacidades en montaje de Sistemas de Gestión de calidad y ambiental según las Normas ISO 9000 y 14000.","Funcionarios de CEMEX graduados de diplomados","2010-10-30","Wilfredo Varela Fonseca","PEAUT","Si"
"134","Curso de Posgrado en Estudio y Evaluación de Impacto Ambiental Avanzado","Funcionarios de MARENA","3","Aula especializada, softwares","Capacitación a funcionarios del MARENA con instrumentos y herramientas para el desarrollo de estudio y evaluaciones de Impacto Ambiental","Funcionarios del MARENA capacitados en 2007","2010-10-30","Wilfredo Varela Fonseca","PEAUT","Si"
"95","Análisis Micropoluentes en Agua y suelo","Tipitapa Power Company
Alcaldías Municipales de Nicaragua
Concesión Minera Empresas YAMANA de Nic
Minerales de Nicaragua
USLC de Nicaragua, SA. 
PNUD
Kaltex Argus S.A
Save the Children - PRODESA RAAN
Nicaragua Sugar Estate Limited
Amigos por Cristo
CARITAS Jinotega
Fundación AMOS
Astro Nicaragua, S.A.
Alcaldía La Libertad
Carvajal & Vado
Grand Textile S.A 
AGRICORP
Soluciones Ambientales
Lácteos Las Mañanitas
Lácteos Bronco Lazo
Lácteos El Triunfo
Macesa S.A
Amaral Consulting (Tenería La fuente) 
Avicola La estrella
Los Almendros
Palmetto
Durman Esquivel
GEOSA (hidroeléctrica)
Astro de Nicaragua (cartonera)
E-Chamorro  (jabonera y Aceitera)
Lixiviados de Rellenos Sanitarios","1","Se cuenta con el personal altamente capacitado, con la infraestructura y el equipamiento que se requiere para brindar un servicio de calidad. ","Realiza muestreos y ensayos utilizando equipos y tecnicas muy especializadas para determinar la presencia de metales pesados y contaminantes organicos en aguas naturales, aguas residuales, suelos y sedimentos.","Informe de Análisis ","2010-10-27","fgdggdg","CIEMA","Si"
"92","Análisis de Microbiología de Aguas","PTAS / BIWATER
Alcaldías Municipales de Nicaragua
Concesión Minera Empresas YAMANA de Nic
PNUD
Nicaragua Sugar Estate Limited
Amigos por Cristo
CARITAS Jinotega
Fundación AMOS
Astro Nicaragua, S.A.
Carbajal & Vado
TRADESA","1","Se cuenta con el personal altamente capacitado, con la infraestructura y el equipamiento que se requiere para brindar un servicio de calidad. ","Realiza muestreos y ensayos para determinar la calidad microbiológica de aguas residuales, así como aguas naturales y de consumo humano. ","Informe de Análisis ","2010-10-27","fgggfh","CIEMA","Si"
"147","Curso de Indicadores de Calidad y Desempeño ","Directores, gerentes, lideres de proyecto, consultores, dueños de proceso, responsables del sistema de gestión de calidad, facilitadores, supervisores y personal en general que requiera conocer y manejar de forma óptima la lectura e interpretación de indicadores de calidad y desempeño, el diseño, desarrollo e implantación de sistemas de gestión de la calidad, los fundamentos del Balanced ScoreCard y tomar decisiones basándose en hechos.","21","Aula Audiovisual, computadora y Datashow.","Se revisan los diferentes tipos de indicadores, los principales elementos de control y los fundamentos del Balanced ScoreCard. ","Brindar a los participantes las herramientas y entrenamiento necesario para diseñar e implantar indicadores de calidad y desempeño, bajo un sistema de medición y fincando las bases para sistemas mas robustos, como los tableros de mando integral.

Durante el curso los participantes desarrollarán prácticas para diseñar indicadores y sistemas de medición y toma de decisiones, los sistemas de medición y el BSC. ","2010-11-03","Guillermo Salazar","PROCYTED","Si"
"145","Curso Maestría en Ingeniería Ambiental","Instituciones Estatales, ONG, Empresas Privadas, Consultores Privados, Universidades.","51","Salones de Clases equipado con instrumentos audiovisuales, Laboratorios (Agua Naturales,Aguas Residuales, Microbiología de Aguas, Operaciones y Procesos Unitarios, Micropoluentes, Calidad del Aire), y Softwares EPANET, FLOUTPAQ.?","Diseño de Obras de Tratamientos : Agua para consumo humano , aguas domiciliares , industriales y agroindustriales , remediación de suelos, tratamiento de desechos solidos , domiciliares, hospitalarios, industriales, agroindustriales entre otros.","El perfil del Máster en Ingeniería Ambiental es un profesional que tiene la competencia para el análisis, diseño, construcción y uso eficiente de los modelos y sistema que generen y desarrollen conocimiento, tecnología para prevenir, mitigar y reducir los impactos negativos de la actividad humana sobre el ambiente y la salud. Coordina y participa en equipo multidisciplinario evaluaciones de impacto ambiental, prevención de efectos ambientales negativos, implementa y desarrolla programas de monitoreo y control de la contaminación","2010-11-01","fhgfhfhgfgh","CIEMA","Si"
"150","Metodología para Evaluación de Daños Ambientales y Análisis de Necesidades","Instituciones de entidades públicas y privadas","10","Aulas especializadas, softwares, metodología","Capacitación en Metodología para Evaluación de Daños Ambientales. Realización de Evaluación de Daños Ambientales ante Desastres.","Metodología de Evaluación de Daños Ambientales Validada.","2010-11-03","Wilfredo Varela Fonseca","PEAUT","Si"
"146","Curso Maestría en Ciencias Ambientales","Instituciones Estatales locales y regionales, Universidades, Empreas privadas,ONG`s, Consultores privados.","27","Salones de Clases equipado con instrumentos audiovisuales, Laboratorios (Agua Naturales,Aguas Residuales, Microbiología de Aguas, Operaciones y Procesos Unitarios, Micropoluentes, Calidad del Aire), y Softwares EPANET, FLOUTPAQ.?","Brindar asistencia tecnica a instituciones ,organismos, organizaciones en estudios de problemas ambientales , en promoción del establecimiento de las politicas ambientales para la conservación del medio ambiente.","Investiga y diagnostica los efectos antropogènicos y factores naturales que inciden en la calidad ambiental para desarrollar metodologias que contribuyan a la prevención de impactos negativos sobre la salud y el ambiente.","2010-11-01","sdfsd","CIEMA","Si"
"93","Ensayos de Simulación en el Laboratorio de Operaciones y Procesos Unitarios ","Proyecto Agua y Vida 
Carvajal & Vado 
PLASTINIC, S.A.
PURITEC. ","48","Se cuenta con el personal altamente capacitado, con la infraestructura y el equipamiento que se requiere para brindar un servicio de calidad. ","Realiza simulaciones en modelos a escala de laboratorio para procesos y operaciones unitarias en potabilización de aguas y tratamiento de aguas residuales, incluyendo coagulación, floculación, sedimentación y filtración, con el propósito de aplicar variables químicas,  físicas e hidráulicas que contribuyan al funcionamiento óptimo de los procesos unitarios. ","Informe de Resultados sobre ensayos realizados. ","2010-10-27","gjhhhkjh","CIEMA","Si"
"219","DISEÑO UNIVERSAL DE EDIFICIOS CONSTRUIDOS","Empresas en desarrollo, instituciones, organismos.","62","21 computadoras HP DC5750, impresoras Deskjet HP 5940, GPS, Equipo topográfico, cámaras digital.","DISEÑO UNIVERSAL DE EDIFICIOS CONTRUIDOS","DIAGNOSTICO DE LA SITUACION ACTUAL, PLANOS DEL DISEÑO, PRESUPUESTO, MEMORIA.","2011-02-16","DIRECCION DE INVESTIGACION","FARQ","Si"
"194","Asesoría en proyectos para la producción de compost.","\N","2","Laboratorios y equipo de oficina","Determinar cuantitaiva y cualitaivamente la cantidad y variedad de los desechos solidos de una empresa","\N","2010-11-09","Russell Joseph - DI","BIOMASA","Si"
"186","Diseño de obras de almacenamiento y uso del Biogás generado durante el tratamiento  anaerobio de aguas residuales, en funcion de su aprovechamiento como una fuente alterna de energía.","\N","1","Laboratorios de aguas y equipo de oficina","Diseño de reactores anaerobicos con uso de materia prima ya sea estiercol de ganado o de cerdo o de aguas residuales industriales, los cuales son ricos en nutrientes para la generacion de biogas","\N","2010-11-09","Russell Joseph - DI","BIOMASA","Si"
"148","Análisis del Índice de Confianza de los Consumidores del Departamento de Managua","-Instituciones publicas y privadas
-Alcaldías
-Sociedad civil.
-Organismos internacionales.
-Profesionales independientes","10","-Aula a condicionada con sistema de refrigeración.
-Mesas y sillas.
-Computadora
-Data Show
-Office
","
El Índice de Confianza de los Consumidores del Departamento de Managua, se mide a través de una encuesta que nos permite interpretar y predecir la evolución del consumo, valorándose la confianza del consumidor,  como un instrumento eficaz para anticipar los posibles cambios de dicha variable y la dinámica de la economía nicaragüense.  
","-Consumidores del departamento de Managua informados sobre el nivel de confianza del consumo.
-Establecimiento de estudio longitudinal &#8211; a través de un indice- sobre el comportamiento de los consumidores.

","2010-11-03","Francisco Flores Morales","PPP","Si"
"149","Análisis del Ranking de la Banca Comercial de Nicaragua ","-Instituciones publicas y privadas
-Alcaldías
-Sociedad civil.
-Organismos internacionales.
-Profesionales independientes","49","-Aula a condicionada con sistema de refrigeración.
-Mesas y sillas.
-Computadora
-Data Show
-Office
","El Ranking de la Banca Comercial de Nicaragua, presenta la evolución y funcionamiento del Sistema Financiero Nacional, así mismo sigue de cerca la incorporación de nuevas instituciones bancarias al mismo sistema.   Este estudio permite que los actores sociales y políticos tengan herramientas necesarias y suficientes para tomar decisiones,  presenta datos de la rentabilidad, liquidez, productividad, solidez, accesibilidad y calidad  de cada banco dentro del sistema; con los cuales los actores sociales y políticos pueden mantenerse informados sobre el impacto de las políticas económicas &#8211; financieras de manera que tengan  las herramientas para  decidir y actuar. ","-Actores sociales y políticos dotados de herramientas necesarias para tomar decisiones.

-Presentación de datos sobre la rentabilidad, liquidez, productividad, solidez, accesibilidad y calidad de  cada banco dentro del sistema.

-Diseminación de información sobre la banca nacional manteniendo informados sobre el impacto de las políticas ecnomicas.

","2010-11-03","Francisco Flores Morales","PPP","Si"
"80","Fortalecimiento Institucional ","-Instituciones publicas y privadas
-Alcaldías
-Sociedad civil.
-Organismos internacionales.","3","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Paquete SPSS.
-Window 2007-2010.
-Laptpo y Data Show.","La capacitación en fortalecimiento institucional esta estructurada de la siguiente manera: marco juridico institucional, proceso de planificación, teoria y gestión del liderazgo,etica y moral de los funcionario.","-Funcionarios de las instituciones trabajando articulados en función del fortalecimiento institucional-
-Desarrollo del trabajo en equipo
-Funcionarios informados de las normas juridicas que hacen funcionar la institución.","2010-10-27","Francisco Flores Morales","PPP","Si"
"83","Participación Ciudadana ","-Sector publico y privado.
-Sociedad civil.
-ONG&#180;s
-Organismos internacionales.
-Profesionales y tecnicos independientes.","3","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Paquete SPSS.
-Window 2007-2010.
-Laptpo y Data Show.","Esta capacitación proporciona los elementos básicos de la participación, permitiendo que el participante se apropie de herramientas para interactuar en el entorno social. Se estrutura de la siguiente forma: marco juridico de la participación, elementos basicos de liderazgo y planificación / organización.","-Participantes involucrados en los procesos socioeconomicos.
-Participantes con actitudes propositivas.
-Uso de tecnicas de participación.","2010-10-27","Francisco Flores Morales","PPP","Si"
"91","Análisis de Aguas Residuales ","PTAS / BIWATER
Kaltex Argus S.A
Nicaragua Sugar Estate Limited
Facultad de Ingeniería Química - UNI
PROTENA
GD Maquiladora de Nic. S.A
Empresa Energética Corinto
Casa Pellas (taller de Mecánica)
ARNECOM
Holcim Nicaragua S.A,
Room Hsing Garment CO
Tip Top Industrial
Grand Textile S.A 
AGRICORP
Soluciones Ambientales
Café Soluble S.A
Corporación Zona Franca
Aalf Uno S.A
Kaltex Argus
Alfha Textil
Corte y Confección 
Eskimo
Lácteos Las Brisas
Lácteos Las Mañanitas
Lácteos Bronco Lazo
Lácteos El Triunfo
Macesa S.A
Amaral Consulting (Tenería La fuente) 
Avicola La estrella
Los Almendros
Palmetto
Durman Esquivel
GEOSA (hidroeléctrica)
Astro de Nicaragua (cartonera)
E-Chamorro  (jabonera y Aceitera)
Lixiviados de Rellenos Sanitarios
","1","Se cuenta con el personal altamente capacitado, con la infraestructura y el equipamiento que se requiere para brindar un servicio de calidad. 
","Se realizan muestreos y ensayos físico-químico de aguas residuales (industriales, agro industriales y docimiliares), estimando de esta manera la eficiencia de los sistemas de tratamiento. ","Informe de Análisis","2010-10-27","fhghgh","CIEMA","Si"
"50","Maestria en Administración y Políticas Públicas","Funcionarios del sector público y privado. A sí, como a sectores de la sociedad civil y organismos internacionales interesados en la administración y la promosión de las políticas públicas desde sus organizaciones.","22","-Aula de clase acondicionada con sistema de refrigeración para 30 alumnos.
-Sillas y mesas
-Laptop y data Show
-Programa SPSS
-Paquete Office
-Window 2007-2010.","Tiene como propósito central formar administradores públicos capaces de desempeñarse en cargos de la más alta responsabilidad, sea en el sector público o privado, así como especialistas en el diseño, evaluación y  análisis de las políticas públicas.  El programa enfatiza en desarrollo de habilidades técnicas de gestión, así como el desarrollo de una fuerte competencia analítica que sustente  una sólida calidad argumentativa.","-Consultores en instituciones públicas municipales, departamentales o nacionales, destacándose como profesionales experto en el conocimiento teórico y en la aplicación de las metodologías y técnicas propias de la gestión pública orientada a resultados. 

-Funcionarios con pacidades de formular y gestionar políticas públicas. 

-Funcionario de alto nivel en el servicio público en función de la buena gestión. 

","2010-10-26","Francisco Flores Morales","PPP","Si"
"78","Diplomado en Investigación Diagnóstico Social","Funcionarios del sector publico y privado dedicados a la investigación social y economica.","25","-Aula de clase acondiconada con sistema de refrigeración.
-Sillaa y mesas
-Paquete Office.
-Paquete SPSS.
-Window 2007-2010-
-Laptop y Data Show.","El Diplomado en Investigación y Diagnóstico Social es un curso que proporciona a los y las participantes  herramientas para poder desarrollar  diagnóstico de la situaciones que se presentan en los ámbito de trabajo de la organizaciones, con el interés de maximizar el impacto de su intervención en la comunidad.","-Funcionarios dotados del conocimiento básico para realizar investigaciones.
-Facilidad para realizar diagnósticos situacionales.
-Capacidad para la realización de analisis de coyunturas.
-Elaboración y aplicación de instrumentos para capturar información.
-Aplicación de tecnicas de captación de información.","2010-10-26","Francisco Flores Morales","PPP","Si"
"214","Levantamiento de uso de suelo","Alcaldías municipales","62","21 computadoras HP DC5750, impresoras Deskjet HP 5940, GPS, Equipo topográfico, cámaras digital.","Levantamientos de uso de suelo","Documento conteniendo situación del aérea urbana y/o rural, Sistema de Información.","2011-02-16","DIRECCION DE INVESTIGACION","FARQ","Si"
"195","Elaboración de estudios de impacto ambiental para industrias y proyectos domésticos.","\N","2","Laboratorio de Aguas, especialistas (Hidrologo, sociologo), laboratorio de suelos, laboratorio especializado en pesticidas","Se determina las fuentes de impacto y las medidas de investigacion de cualquier obra a construir ya sea urbanizacion industria los mismos desechos tanto liquidos como solidos","\N","2010-11-09","Russell Joseph - DI","BIOMASA","Si"
"152","Diseño de Sistemas de Gestión Ambiental Municipal","Alcaldías municipales","11","Metodologías, softwares, medios de transporte, recursos humanos.","Diseño e implementación de Sistemas de Gestión Ambiental municipal.","Diseño e implementación de Sistemas de Gestión Ambiental en los municipios de: Boaco, Granada, Rivas, Masaya, Diriamba, Jinotepe, Tipitapa, San Rafael del Sur y Ciudad Sandino. 2005","2010-11-03","Wilfredo Varela Fonseca","PEAUT","Si"
"153","Diseño de Sistema de Gestión Ambiental y Riesgos en el Sistema de Inversión Pública de Guatemala","Secretaría General de Planificación y Programación de la Presidencia de Guatemala (SEGEPLAN)","11","Metodología e instrumentos para la Gestión Ambiental","El diseño del Sistema de Gestión Ambiental se desarrolló específicamente para el Sistema de Inversión Pública de Guatemala con el fin de realizar a futuro inversiones seguras.","Sistema de Gestión Ambiental diseñado. 2007","2010-11-03","Wilfredo Varela Fonseca","PEAUT","Si"
"154","Evaluación de Daños Ambientales ocasionados por agroquímicos proveniente de ríos costarricenses que tributan al lago Cocibolca y al río San Juan","Ministerio del Ambiente y los Recursos Naturales (MARENA)","51","Metodologías e instrumentos para Evaluación de Daños Ambientales","Se realizó un recorrido por los sitios donde ocurre derrame o propagación de agroquímicos, se tomó muestras en diferentes puntos para su posterior análisis de laboratorio. ","Se comprobó presencia de altas concentraciones de contaminantes (agroquímicos)","2010-11-03","Wilfredo Varela Fonseca","PEAUT","Si"
"155","Diplomado en Gestión del Riesgo","Sistema Nacional para la Prevención, Mitigación y Atención de Desastres (SINAPRED)","25","Aula especializada, software, instrumentos sobre gestión del riesgo","Capacitación a funcionarios del SINAPRED","Funcionarios del SINAPRED capacitados en el año 2001.","2010-11-03","Wilfredo Varela Fonseca","PEAUT","Si"
"19","Análisis  Físico Químico de Aguas Naturales ","Tipitapa Power Company
Alcaldías Municipales de Nicaragua 
Carbajal & Vado  
PTAS/BIWATER
CARE MI CUENCA 
CARE-PASHE
Concesión Minera de Empresas YAMANA Nic.
Minerales de Nicaragua
UCA-CIDEA
CMW-Consultores, S.A.
USLC de Nicaragua, S.A.
PNUD
Kaltex Argus S.A.
Save the Children - PRODESA RAAN
Nicaragua Sugar Estate Limited
CARE-PROYECTO MI CUENCA
CEPS
Amigos por Cristo
CARITAS Jinotega
MED &#8211; LAB
Fundación AMOS
Astro Nicaragua, S.A.
Facultad de Ingeniería Química - UNI","1","Se cuenta con el personal altamente capacitado y con el equipamiento que se requiere para brindar un servicio de calidad. 
","Se realizan muestreos y ensayos para determinar la calidad físco-química de aguas naturales y de consumo humano. ","Informe de Análisis
","2010-10-11","fgdgfd","CIEMA","Si"
"96","Análisis de Calidad del Aire","Tipitapa Power Company
USLC de Nicaragua, SA. 
PNUD
Kaltex Argus S.A
Nicaragua Sugar Estate Limited
Empresa Energética Corinto
Casa Pellas (taller de Mecánica)
ARNECOM
Holcim Nicaragua S.A,
Room Hsing Garment CO
Tip Top Industrial
Grand Textile S.A 
AGRICORP
Soluciones Ambientales
Café Soluble S.A
Proyecto Fortalecimiento Policía Nacional
Productos del Aire de Nicaragua S.A
Suzlon Wind Energy A/S
ALBANIZA
ALBANIZA &#8211; Generación
Administración de Aeropuertos Internac. (EAAI)
Corporación Zona Franca
Lácteos Las Mañanitas
Lácteos Bronco Lazo
Lácteos El Triunfo
Macesa S.A
Amaral Consulting (Tenería La fuente) 
Avicola La estrella
Protena S.A (sangre)
Los Almendros
Palmetto
Durman Esquivel
GEOSA (hidroeléctrica)
Astro de Nicaragua (cartonera)
E-Chamorro  (jabonera y Aceitera)
Lixiviados de Rellenos Sanitarios
","1","Se cuenta con el personal altamente capacitado y con el equipamiento que se requiere para brindar un servicio de calidad. ","Realiza servicios de monitoreo de la calidad del aire, determinación de gases, particulas suspendidas en aire y niveles de ruido","Informe de Análisis","2010-10-27","yuiuh","CIEMA","Si"
"151","Evaluación de Daños Ambientales y Análisis de Necesidades","Instituciones Públicas y Privadas, Organismos no gubernamentales","51","Vehículo para realización de visitas de campo, Metodología para Evaluación de Daños Ambientales y Necesidades","Mediante estructuración de equipos multidisciplinarios interinstitucionales se realiza un proceso de Evaluación de Daños Ambientales y Necesidades post desastre.","Evaluación de Daños Ambientales producto del derrame de 5,000 galones de aceite de palma africana en el río Rama. 2004.
Evaluación de Daños Ambientales y Necesidades provocados por incendios forestales en Nueva Segovia. 2001.","2010-11-03","Wilfredo Varela Fonseca","PEAUT","Si"
"42","Maestria en Políticas Publicas","Funcionarios del sector publico y privado. A sí como sociedad civil.","22","-Aula a condicionada con sistema de refrigeración.
-Mesas y sillas.
-Computadora
-Data Show
-Office
-SPSS
","La Maestría que aquí se presenta esta dirigida tanto a funcionarios públicos, como a líderes sociales, dirigentes políticos interesados en conocer la materia de las políticas públicas. Se presta especial atención  al ciclo de las Políticas,  se procura desarrollar las capacidades para que los estudiantes además de capacidades criticas desarrollen habilidades de formuladores de políticas.","-Desarrollar capacidades gerenciales con el propósito de responder a las demandas de la gestión pública.
-Cultivar habilidades para promover causas y formular soluciones a las demandas sociales. 
","2010-10-25","Francisco Flores Morales","PPP","Si"
"56","Maestría en Gerencia de Proyectos de Inversión Pública","Funcionarios del sector publico y privado. A sí como sociedad civil y organismos internaciones.","22","-Aula de clase acondicionada con sistema de refrigeración 
-Sillas y mesas
-Laptop y data show
-Paquete Office
-Paquete SPSS
-Window 2007-2010.","La maestría en Gerencia en Proyectos Sociales e Inversión Pública,  ofrece una formación sólida  que permite a los profesionales atender con excelencia, creatividad, calidad e innovación las exigencias que demanda  la evaluación en el contexto socioeconómico y ambiental actual, tanto en el  sector público  como privado. 

","-Profesionales prestando sus  servicios el servicio público y  organizaciones de la sociedad civil que trabajan con las comunidades.

-Formar un Profesionales con sólidos conocimientos en la formulación, evaluación y gerencia de proyectos de inversión pública, con capacidad de determinar prioridades de inversión pública en procura del bien común. 

-Desarrollar actitudes y habilidades relativas a la gerencia de los proyectos sociales y de inversión pública.

--Dominio de tecnologías de información especializadas en el campo de la formulación, evaluación y gerencia de proyectos Sociales y de inversión pública, como herramientas para el análisis y toma de decisiones.","2010-10-26","Francisco Flores Morales","PPP","Si"
"156","Capacitación sobre uso de Software Sistema de Gestión del Riesgo (SIGER)","Funcionarios de Alcaldías municipales y Centros de Investigación","3","Software, Aulas especializadas, Medios de transporte para giras de campo","Software de aplicación sencilla para facilitar la Gestión del Riesgo de Desastres desarrollado en coordinación entre el PEAUT y la Facultad de Ciencias y Sistemas de la Universidad Nacional de Ingeniería de Nicaragua. 
Etapas: Evaluación de la Amenaza
Evaluación de la Vulnerabilidad
Determinación del Riesgo
Planificación de la Gestión del Riesgo
","Capacitados funcionarios de Alcaldías municipales, Defensa Civil, estudiantes, entre otros.","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"157","Sistema de Evaluación de Indicadores de Vulnerabilidad","AECID, Alcaldías municipales de la Región centroamericana y República Dominicana","11","Software, base de datos","Software de aplicación sencilla para facilitar la Evaluación de Indicadores de Vulnerabilidad, desarrollado por el PEAUT en consultoría para Agencia Española de Cooperación Internacional. ","Software elaborado y aplicado en Nicaragua con 29 indicadores","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"158","Metodología para la Evaluación de la Calidad Ambiental en Industrias","Industrias","10","Instrumentos de Evaluación de Calidad Ambiental","Metodología que permite la EVALUACIÓN DE LA CALIDAD AMBIENTAL EN LA INDUSTRIA","Evaluación de la Calidad Ambiental en industrias pertenecientes al Comité de Zonas Francas de Nicaragua","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"159","Metodología para la Regularización Ambiental en Asentamientos Humanos","Alcaldías municipales, Centros de Investigación, Organismos no gubernamentales, Instituciones públicas y privadas.","10","Metodología, Histogramas, Legislación ambiental nacional e internacional","Metodología que permite determinar los estados de irregularidad ambiental urbana y rural, al margen de las disposiciones normativas y legales. ","Metodología elaborada, se imparte en el Sistema de posgrado del PEAUT. Propuestas concretas en diferentes sitios de estudio para lograr la regularización ambiental.","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"160","Histograma para la evaluación de la vulnerabilidad física y de proyectos","Instituciones Públicas y privadas, Centros de Investigación, Cooperación Internacional","10","Histogramas, metodologías, aulas especializadas","Instrumento que permite determinar los estados de fragilidad de los proyectos formulados y de las edificaciones e infraestructura construida","Instrumento elaborado y validado","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"161","Planificación Territorial con énfasis en Riesgo","Alcaldías municipales","10","Software, metodologías","Manual de Planificación Territorial, donde se visibiliza los distintos momentos metodológicos y metódicos de los balances de riesgo, escenarios de riesgos y propuestas de reducción del riesgo como soporte a las grandes propuestas de desarrollo","Metodología elaborada, se encuentran en proceso de culminación, para este año 2010, dos tesinas: 1). Planificación Territorial con énfasis en Riesgo para el municipio de Macuelizo. 2). Planificación Territorial con énfasis en Gestión del Riesgo en el municipio de Santa María.","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"163","Metodología para la evaluación del estado de la información para Gestión del Riesgo y del Ambiente","Instituciones Públicas y Privadas","11","Aulas especializadas, software, medios de transporte para visitas de campo","Metodología que permite la evaluación del estado de la información de riesgo y ambiente.","Metodología elaborada y validada en diferentes escenarios. Se imparte en el Sistema de Posgrado del PEAUT y se aplica en los territorios.","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"196","Elaboración de estudios de factibilidad para desarrollo e implementación de proyectos con participación comunal e institucional.","\N","2","Laboratorio de Aguas (Analisis de las aguas), equipo de oficina","Determinar las características cuantivas y cuanlitaivas de los desechos liquidos y solidos de empresas para su futuro diseño y construcción","\N","2010-11-09","Russell Joseph - DI","BIOMASA","Si"
"164","Escuela de Liderazgo Juvenil 2015","Jóvenes de ambos sexos con las siguientes características: 
-18 a 30 años
-Estudiantes de pregrado y secundaria aprobada.
-Perteneciente a una organización sociopolítica, ONG&#180;s
","52","-Oficina acondionada con: escritorio, sillas, archivador, computadora, impresora, fotocopiadora, escaner, intenet, aire acondiconado, acceso a la sala de reuniones y una aulas de calse. Software: office 2007 y 2010 etc.","La Escuela de Liderazgo Juvenil 2015 es una iniciativa que desde el año 2006 impulsa el Programa de Naciones Unidas para el desarrollo. Actualmente el Instituto de Administración IAP y la UNI, darán continuidad al proceso de institucionalización y  sostenibilidad de la ELJ-2015 atendiendo el requerimiento de formar profesionales de alto nivel, líderes juveniles que garanticen un verdadero cambio desde las diferentes estructuras sociales y políticas.","-Nuevas generaciones de líderes sociopolíticos, formados por medio de un diplomado en Liderazgo Juvenil.
-Incrementada la capacidad analítica  de propuesta para un nuevo liderazgo en Nicaragua.
-Fomentada la conciencia critica  y comportamiento ético en el ejercicio del liderazgo.
-Mejorada la competencia para el dialogo.

","2010-11-04","Francisco Flores Morales","PPP","Si"
"165","Elaboración de Libro de Texto Ambiente y Proyectación Urbano-Arquitectónica. ""Una Propuesta Metodológica""","Estudiantes de la carrera de Arquitectura, sociedad civil, Centros de Investigación.","10","Aulas especializadas, base de datos, Centro de Información Ambiental","Edición y publicación de libro de texto para la carrera de Arquitectura","Libro de texto elaborado y editado, finalizó como una Tesis de Maestría en Planificación y Administración Ambiental de Proyectos.","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
"166","Metodología para la elaboración de Planes de Evacuación ante Fenómenos","Alcaldías municipales","10","Aula especializada, metodologías, softwares","Desarrollo de planes de evacuación ante fenómenos","Metodología elaborada, validada en la ciudad de León. Finalizó como resultado de una tesina.","2010-11-04","Wilfredo Varela Fonseca","PEAUT","Si"
